# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.0
#@/tick	2403
#@/user_id	a5e57e08-b0e6-49e9-9b39-b4d5e009ac8f
a 	啊	c=2 d=1.00515 t=1808
yi xian 	一線	c=1 d=1 t=1044
yi you 	已有	c=1 d=1 t=1124
yi yuan 	一元	c=1 d=1 t=1406
yi zhi 	一直	c=2 d=1.94176 t=1556
yi zhou 	一週	c=0 d=0.1 t=2381
yi zhou yi ci 	一週一次	c=1 d=1 t=2382
yi zuo 	一作	c=1 d=1 t=1142
yin fa 	引發	c=1 d=1 t=41
yin jin 	引進	c=1 d=0.161115 t=1493
yin wei 	因爲	c=2 d=1.04929 t=943
yin xiang 	印象	c=1 d=1 t=2159
yin zi 	銀子	c=1 d=1 t=1718
ying er 	嬰兒	c=0 d=0.1 t=174
ying er chao 	嬰兒潮	c=1 d=1 t=175
ying gai 	應該	c=1 d=1 t=2006
ying kan 	應看	c=1 d=1 t=2107
ying ning 	嚶嚀	c=1 d=1 t=1316
ying wen 	英文	c=1 d=1 t=1356
ying xiang 	影響	c=9 d=1.08513 t=2276
ying yu 	英語	c=1 d=1 t=481
yong 	用	c=2 d=1.0973 t=786
you 	優	c=1 d=1 t=97
you 	又	c=1 d=1 t=681
you 	有	c=15 d=1.7453 t=2301
you 	由	c=3 d=2.12958 t=217
you dian 	優點	c=3 d=2.69475 t=2288
you duan 	有段	c=1 d=1 t=1336
you duo 	有多	c=1 d=1 t=1845
you er yuan 	幼兒園	c=1 d=1 t=1228
you ge 	有個	c=1 d=1 t=698
you guan 	有關	c=2 d=1.01832 t=1154
you ji hui 	有機會	c=2 d=1.8311 t=673
you jian 	郵件	c=1 d=1 t=1455
you li yu 	有利於	c=1 d=1 t=2184
you mei you 	有沒有	c=3 d=1.00158 t=2368
you qian 	有錢	c=1 d=1 t=1273
you qing 	優青	c=1 d=0.122483 t=1945
you ren shuo 	有人說	c=2 d=1.94176 t=1561
you sha 	有啥	c=1 d=1 t=1766
you xiao xing 	有效性	c=1 d=1 t=259
you xie 	有些	c=1 d=1 t=692
you xiu 	優秀	c=1 d=1 t=1511
yu 	語	c=1 d=1 t=572
yu ce 	預測	c=2 d=1.93707 t=1402
yu gu 	預估	c=1 d=1 t=1385
yu kuai 	愉快	c=1 d=1 t=585
yu qi 	預期	c=0 d=0.1 t=2293
yu rong 	羽絨	c=1 d=1 t=1322
yu yin 	語音	c=1 d=1 t=839
yu yue 	預約	c=1 d=1 t=568
yuan 	元	c=1 d=1 t=1103
yuan 	院	c=1 d=1 t=2226
yuan xiao 	院校	c=2 d=1.98511 t=1132
yuan yuan 	媛媛	c=2 d=1.01463 t=1461
yuan zhang 	院長	c=2 d=1.00172 t=2308
yue 	月	c=1 d=1 t=1095
yue 	約	c=3 d=1.00042 t=2394
yue fen 	月份	c=0 d=0.198511 t=2258
yue nan 	越南	c=1 d=1 t=1947
yue shu 	約束	c=1 d=1 t=422
yue xin 	月薪	c=1 d=1 t=1212
yun 	雲	c=2 d=1.85698 t=797
yun xing 	運行	c=1 d=1 t=791
za 	咋	c=1 d=1 t=823
za yang 	咋樣	c=1 d=1 t=624
zai 	再	c=3 d=1.808 t=1699
zai 	在	c=11 d=1.73689 t=1838
zai xian 	在線	c=1 d=1 t=1957
zao 	早	c=1 d=1 t=2329
zao shang 	早上	c=1 d=1.09139 t=2050
ze 	則	c=2 d=1.9802 t=238
ze ren 	責任	c=5 d=4.45029 t=476
zen me yang 	怎麼樣	c=1 d=1 t=717
zen yang 	怎樣	c=5 d=2.72788 t=1893
zhan yong 	佔用	c=1 d=1 t=280
zhan zheng 	戰爭	c=1 d=1 t=2169
zhang cheng 	張成	c=0 d=0.1 t=974
zhang cheng jie 	張成傑	c=1 d=1 t=975
zhao 	找	c=1 d=1 t=1837
zhao 	招	c=1 d=0.563013 t=1789
zhao de 	找得	c=1 d=1 t=716
zhao gong zuo 	找工作	c=2 d=1.03096 t=1832
zhao hen duo ren 	招很多人	c=1 d=1 t=1790
zhao ji 	着急	c=1 d=1 t=693
zhao lai 	招來	c=1 d=1 t=1591
zhao pin 	招聘	c=1 d=1 t=1394
zhe 	着	c=3 d=2.85132 t=464
zhe 	這	c=1 d=1 t=946
zhe bian 	這邊	c=1 d=1 t=873
zhe ge 	這個	c=4 d=1.86316 t=2054
zhe ji tian 	這幾天	c=1 d=1 t=2352
zhe jiang 	浙江	c=1 d=1.03707 t=1492
zhe jiang da xue 	浙江大學	c=1 d=1 t=1478
zhe jiang li gong da xue 	浙江理工大學	c=1 d=1 t=1493
zhe me 	這麼	c=1 d=1 t=772
zhe me hao 	這麼好	c=1 d=1 t=732
zhe pian 	這篇	c=1 d=1 t=1439
zhe shi 	這是	c=1 d=1 t=2021
zhe xie 	這些	c=2 d=1.40052 t=2326
zhe yang 	這樣	c=5 d=1.56009 t=2150
zhe yi 	這一	c=1 d=1 t=2157
zhe yi kuai 	這一塊	c=1 d=1 t=1691
zhen 	真	c=1 d=1 t=770
zhen 	針	c=0 d=0.1 t=826
zhen bang 	真棒	c=1 d=1 t=16
zhen peng 	振朋	c=1 d=1 t=1445
zhen shi 	真實	c=1 d=1.08177 t=1910
zhen shi duo ti 	真實多體	c=1 d=1 t=1739
zhen shi duo ti jiu chan 	真實多體糾纏	c=1 d=1 t=1725
zheng 	正	c=2 d=1.91851 t=1771
zheng ce 	政策	c=1 d=1 t=177
zheng hao 	正昊	c=1 d=1 t=1721
zheng shi 	正式	c=2 d=1.91393 t=1027
zheng ti 	整體	c=1 d=1 t=1163
zheng wen 	正文	c=1 d=1 t=545
zheng zhi 	政治	c=1 d=1 t=328
zheng zhou 	鄭州	c=2 d=1.45841 t=1490
zhi 	之	c=0 d=0.1 t=379
zhi 	只	c=1 d=1 t=1732
zhi 	指	c=1 d=1 t=35
zhi 	智	c=0 d=0.1 t=26
zhi bei 	製備	c=1 d=1 t=1730
zhi ben 	之本	c=1 d=1 t=2193
zhi ben she 	智本社	c=1 d=1 t=27
zhi biao 	指標	c=1 d=1 t=1150
zhi cheng dian 	支撐點	c=1 d=1 t=2189
zhi dao 	知道	c=1 d=1 t=1743
zhi dian 	支點	c=1 d=1 t=2148
zhi hou 	之後	c=2 d=1.00865 t=1820
zhi hu 	知乎	c=16 d=3.44983 t=2345
zhi ji zhi bi 	知己知彼	c=1 d=1 t=2165
zhi jie 	直接	c=2 d=1.17817 t=1589
zhi lao hu 	紙老虎	c=0 d=0.1 t=521
zhi liang 	質量	c=3 d=1.00351 t=1507
zhi mu 	之幕	c=1 d=1 t=513
zhi qian 	之前	c=1 d=1.00369 t=2381
zhi shao 	至少	c=3 d=1.52372 t=2171
zhi shi 	只是	c=2 d=1.18087 t=349
zhi shi 	知識	c=2 d=1.79057 t=487
zhi wai 	之外	c=1 d=1 t=1629
zhi zheng 	指正	c=1 d=1 t=851
zhi zhi 	紙質	c=1 d=1 t=643
zhong 	中	c=5 d=2.04899 t=1266
zhong 	鍾	c=0 d=0.1 t=1933
zhong guo 	中國	c=8 d=3.96135 t=1952
zhong guo cheng shi 	中國城市	c=1 d=1 t=928
zhong guo hai yang 	中國海洋	c=1 d=1 t=961
zhong liang 	重量	c=1 d=1 t=1459
zhong nan 	中南	c=1 d=1 t=1285
zhong nan bu 	中南部	c=1 d=1 t=1684
zhong nan da xue 	中南大學	c=1 d=1 t=1290
zhong nan shan 	鍾南山	c=1 d=1 t=1934
zhong ren 	中人	c=0 d=0.1 t=2283
zhong wen 	中文	c=2 d=1.99501 t=2314
zhong wen zi ti 	中文字體	c=1 d=1 t=30
zhong xiao xue 	中小學	c=1 d=1 t=1229
zhong xin 	中心	c=1 d=1 t=1065
zhong yao 	重要	c=1 d=1 t=1580
zhou 	周	c=2 d=1.12431 t=2365
zhou er 	週二	c=0 d=0.1 t=2032
zhou er zao shang 	週二早上	c=1 d=1 t=2033
zhou qi 	週期	c=0 d=0.1 t=2273
zhou ri 	週日	c=1 d=1 t=1342
zhou yi 	週一	c=2 d=1.92312 t=2046
zhu 	祝	c=1 d=1 t=583
zhu fang 	住房	c=1 d=1 t=1202
zhu guan 	主觀	c=1 d=1 t=473
zhu hao 	祝好	c=1 d=1 t=1444
zhu yao 	主要	c=2 d=1.00035 t=1841
zhu yao shi 	主要是	c=1 d=1 t=703
zhu yi 	主義	c=1 d=1 t=319
zhu yi dao 	注意到	c=1 d=1 t=2369
zhuan ye 	專業	c=3 d=2.20124 t=1489
zhuan yi 	轉移	c=1 d=1.09608 t=164
zhuan zheng 	轉正	c=2 d=1.97045 t=1214
zhuan zhuan 	轉轉	c=1 d=1 t=664
zhuang kuang 	狀況	c=1 d=1 t=1560
zhuang tai 	狀態	c=1 d=1.00505 t=2081
zhun bei 	準備	c=1 d=1 t=1882
zhun ze 	準則	c=5 d=3.54647 t=511
zi 	字	c=0 d=0.1 t=31
zi ben 	資本	c=2 d=1.97045 t=161
zi fa 	自發	c=1 d=1 t=131
zi ji 	自己	c=4 d=1.56956 t=2187
zi shen 	自身	c=1 d=1 t=198
zi ti 	字體	c=2 d=2.08806 t=33
zi wo 	自我	c=3 d=2.96042 t=424
zi xi tong 	子系統	c=1 d=1 t=600
zi xun 	諮詢	c=2 d=1.04221 t=1700
zi yuan feng fu 	資源豐富	c=1 d=1 t=2281
zong shu 	總數	c=1 d=1 t=1386
zu 	組	c=1 d=0.377568 t=2086
zu hui 	組會	c=1 d=1 t=818
zu li 	組裏	c=2 d=1.97531 t=1897
zu zhi 	組織	c=3 d=2.77842 t=296
zu zhou 	詛咒	c=2 d=1.97531 t=1966
zui 	最	c=1 d=1 t=2250
zui duo 	最多	c=2 d=1.06489 t=1734
zui hao 	最好	c=0 d=0.1 t=2227
zui hao jie jin 	最好接近	c=1 d=1 t=2228
zui hou 	最後	c=1 d=1 t=1397
zuo 	做	c=5 d=2.48574 t=1986
zuo chu 	作出	c=1 d=1 t=77
zuo dao 	做到	c=1 d=1 t=1817
zuo de hao 	做得好	c=1 d=1 t=2231
zuo yong 	作用	c=1 d=1 t=2115
zuo you 	左右	c=4 d=1.59386 t=1644
zuo zhe 	作者	c=3 d=3.04692 t=1400
